Age,Gender,Income_Level,Travel_Companion,Activity_Level,Budget,Target_Destination
41,Female,Low,Family,1,Luxury,Relaxation/Beach
28,Male,Medium,Family,1,Economical,Cultural/Historical
34,Male,High,Solo,4,Economical,Relaxation/Beach
25,Male,Medium,Family,5,Economical,Adventure/Nature
52,Male,Medium,Solo,1,Economical,Cultural/Historical
52,Male,Low,Family,5,Economical,Cultural/Historical
50,Male,High,Group,4,Mid-range,Cultural/Historical
22,Female,Medium,Group,5,Mid-range,Adventure/Nature
59,Male,High,Solo,5,Luxury,Cultural/Historical
56,Male,Medium,Family,1,Mid-range,Relaxation/Beach
58,Female,Medium,Group,2,Mid-range,Cultural/Historical
45,Male,High,Solo,3,Luxury,Cultural/Historical
24,Male,Medium,Group,4,Mid-range,Adventure/Nature
26,Female,Medium,Solo,4,Mid-range,Adventure/Nature
25,Male,Medium,Family,4,Luxury,Relaxation/Beach
29,Male,High,Family,3,Luxury,Cultural/Historical
51,Female,Medium,Family,2,Mid-range,Relaxation/Beach
50,Male,Medium,Group,5,Mid-range,Cultural/Historical
40,Female,Low,Solo,4,Mid-range,Relaxation/Beach
41,Female,High,Solo,5,Luxury,Cultural/Historical
54,Male,Low,Family,1,Luxury,Relaxation/Beach
52,Female,Medium,Group,1,Mid-range,Cultural/Historical
61,Female,Medium,Solo,1,Luxury,Relaxation/Beach
57,Male,Medium,Group,4,Mid-range,Cultural/Historical
39,Female,Medium,Family,3,Economical,Cultural/Historical
44,Male,Low,Solo,4,Luxury,Party/Nightlife
52,Female,Medium,Group,1,Mid-range,Cultural/Historical
18,Male,High,Solo,1,Economical,Adventure/Nature
52,Female,High,Family,4,Luxury,Cultural/Historical
54,Male,Low,Solo,3,Mid-range,Cultural/Historical
64,Female,High,Family,3,Mid-range,Cultural/Historical
31,Male,Medium,Family,5,Luxury,Relaxation/Beach
20,Male,High,Family,2,Luxury,Relaxation/Beach
18,Female,Medium,Family,1,Luxury,Relaxation/Beach
22,Female,Medium,Family,3,Mid-range,Cultural/Historical
43,Female,High,Solo,1,Mid-range,Relaxation/Beach
31,Female,High,Family,2,Economical,Cultural/Historical
56,Female,Medium,Group,1,Mid-range,Cultural/Historical
44,Female,Low,Group,3,Luxury,Cultural/Historical
26,Male,Medium,Solo,5,Luxury,Relaxation/Beach
32,Female,Medium,Solo,4,Economical,Adventure/Nature
32,Female,Low,Group,4,Economical,Adventure/Nature
43,Other,Low,Family,3,Luxury,Cultural/Historical
59,Female,High,Family,3,Luxury,Cultural/Historical
30,Male,Low,Group,2,Mid-range,Cultural/Historical
49,Male,Medium,Solo,1,Mid-range,Relaxation/Beach
56,Female,Low,Family,2,Economical,Cultural/Historical
49,Female,Medium,Group,4,Luxury,Cultural/Historical
21,Female,Low,Family,1,Mid-range,Relaxation/Beach
47,Female,Low,Solo,2,Mid-range,Relaxation/Beach
54,Female,High,Solo,4,Mid-range,Cultural/Historical
40,Male,High,Solo,1,Mid-range,Relaxation/Beach
56,Female,Low,Group,5,Economical,Cultural/Historical
62,Male,Medium,Solo,5,Luxury,Cultural/Historical
32,Male,Medium,Solo,2,Luxury,Relaxation/Beach
60,Female,High,Group,3,Luxury,Cultural/Historical
46,Female,High,Solo,1,Luxury,Relaxation/Beach
53,Male,Medium,Solo,2,Mid-range,Relaxation/Beach
30,Male,Medium,Solo,3,Economical,Cultural/Historical
49,Other,High,Solo,3,Luxury,Cultural/Historical
24,Male,Low,Family,1,Mid-range,Relaxation/Beach
39,Female,Medium,Group,1,Mid-range,Cultural/Historical
45,Female,High,Group,3,Economical,Cultural/Historical
19,Female,High,Family,4,Mid-range,Adventure/Nature
59,Female,Medium,Family,2,Mid-range,Relaxation/Beach
62,Male,Medium,Family,1,Economical,Cultural/Historical
23,Female,Medium,Solo,3,Economical,Cultural/Historical
45,Male,Medium,Solo,4,Mid-range,Cultural/Historical
45,Female,Medium,Group,5,Luxury,Cultural/Historical
61,Male,Medium,Solo,3,Mid-range,Cultural/Historical
61,Female,High,Solo,4,Economical,Cultural/Historical
37,Male,High,Family,5,Mid-range,Adventure/Nature
47,Male,Low,Family,4,Luxury,Cultural/Historical
28,Male,Medium,Solo,1,Mid-range,Relaxation/Beach
45,Male,Medium,Solo,3,Economical,Cultural/Historical
42,Female,Medium,Family,5,Luxury,Adventure/Nature
56,Male,Low,Family,4,Economical,Cultural/Historical
50,Other,Medium,Solo,5,Economical,Relaxation/Beach
18,Other,High,Family,2,Mid-range,Relaxation/Beach
44,Female,Medium,Family,3,Mid-range,Cultural/Historical
30,Male,High,Group,1,Luxury,Relaxation/Beach
58,Male,High,Solo,5,Economical,Cultural/Historical
20,Female,Low,Solo,4,Mid-range,Adventure/Nature
56,Male,Low,Family,5,Mid-range,Adventure/Nature
23,Male,High,Family,4,Mid-range,Cultural/Historical
25,Female,High,Solo,5,Economical,Adventure/Nature
44,Female,Low,Family,1,Economical,Adventure/Nature
26,Female,Low,Solo,1,Economical,Relaxation/Beach
54,Male,Low,Solo,3,Mid-range,Cultural/Historical
50,Female,High,Family,1,Luxury,Relaxation/Beach
59,Male,Low,Solo,5,Mid-range,Cultural/Historical
61,Male,Medium,Group,5,Mid-range,Cultural/Historical
41,Female,High,Family,1,Mid-range,Relaxation/Beach
32,Male,Low,Family,2,Luxury,Party/Nightlife
49,Male,Medium,Family,5,Mid-range,Cultural/Historical
49,Male,Low,Family,3,Economical,Cultural/Historical
41,Female,High,Solo,2,Mid-range,Relaxation/Beach
58,Female,Low,Group,1,Mid-range,Cultural/Historical
29,Female,Medium,Group,4,Mid-range,Adventure/Nature
56,Female,Medium,Solo,5,Economical,Cultural/Historical
19,Male,Low,Solo,4,Economical,Adventure/Nature
20,Female,Low,Solo,3,Luxury,Cultural/Historical
54,Male,Medium,Family,2,Economical,Cultural/Historical
34,Male,Low,Family,4,Mid-range,Adventure/Nature
19,Female,High,Group,3,Economical,Cultural/Historical
19,Other,High,Group,4,Economical,Adventure/Nature
45,Male,Medium,Family,4,Economical,Cultural/Historical
40,Male,Medium,Family,3,Economical,Cultural/Historical
54,Male,Medium,Family,5,Economical,Cultural/Historical
49,Male,High,Family,4,Mid-range,Cultural/Historical
50,Other,Medium,Family,3,Mid-range,Cultural/Historical
18,Female,Low,Family,4,Luxury,Adventure/Nature
36,Female,Low,Family,5,Economical,Adventure/Nature
19,Female,Medium,Family,3,Luxury,Cultural/Historical
61,Male,Medium,Family,4,Luxury,Cultural/Historical
43,Female,Medium,Family,1,Economical,Adventure/Nature
49,Male,Low,Family,5,Luxury,Cultural/Historical
23,Female,High,Family,4,Economical,Adventure/Nature
49,Other,Low,Family,2,Mid-range,Relaxation/Beach
21,Female,Low,Family,3,Economical,Cultural/Historical
28,Male,Medium,Solo,4,Mid-range,Adventure/Nature
34,Female,Low,Solo,5,Mid-range,Adventure/Nature
55,Male,Medium,Family,5,Mid-range,Cultural/Historical
41,Male,Medium,Family,2,Luxury,Relaxation/Beach
22,Male,Medium,Group,2,Mid-range,Cultural/Historical
51,Male,Medium,Family,4,Mid-range,Cultural/Historical
23,Female,Low,Family,1,Luxury,Relaxation/Beach
39,Female,Low,Solo,5,Luxury,Relaxation/Beach
28,Other,High,Solo,1,Luxury,Relaxation/Beach
33,Female,Medium,Group,1,Luxury,Adventure/Nature
50,Female,Medium,Solo,4,Economical,Cultural/Historical
26,Male,Low,Family,3,Mid-range,Cultural/Historical
23,Male,Medium,Family,3,Economical,Cultural/Historical
33,Female,Medium,Family,3,Luxury,Cultural/Historical
46,Male,Medium,Group,2,Economical,Cultural/Historical
20,Female,High,Family,5,Mid-range,Cultural/Historical
37,Male,Low,Solo,2,Economical,Cultural/Historical
53,Male,Low,Group,5,Economical,Cultural/Historical
36,Male,High,Group,5,Economical,Adventure/Nature
43,Male,High,Solo,5,Mid-range,Party/Nightlife
20,Male,Low,Solo,4,Economical,Adventure/Nature
36,Female,Medium,Solo,3,Mid-range,Cultural/Historical
37,Male,Low,Solo,2,Luxury,Relaxation/Beach
49,Female,Low,Group,2,Luxury,Cultural/Historical
24,Male,Medium,Family,4,Economical,Adventure/Nature
58,Male,Low,Family,5,Luxury,Cultural/Historical
50,Male,High,Group,3,Luxury,Cultural/Historical
57,Female,Medium,Family,1,Economical,Cultural/Historical
56,Male,Low,Solo,1,Luxury,Relaxation/Beach
35,Female,Low,Group,4,Luxury,Relaxation/Beach
57,Male,High,Group,3,Mid-range,Cultural/Historical
18,Female,Low,Group,1,Economical,Relaxation/Beach
28,Male,Medium,Family,1,Mid-range,Relaxation/Beach
45,Female,Medium,Group,2,Luxury,Cultural/Historical
42,Female,Medium,Solo,3,Economical,Adventure/Nature
40,Other,Medium,Family,1,Mid-range,Relaxation/Beach
48,Male,Low,Group,2,Mid-range,Cultural/Historical
47,Male,Low,Solo,3,Mid-range,Cultural/Historical
59,Male,Low,Group,5,Mid-range,Cultural/Historical
52,Female,Medium,Family,3,Mid-range,Cultural/Historical
24,Female,Medium,Solo,4,Luxury,Party/Nightlife
33,Female,Low,Group,2,Luxury,Cultural/Historical
43,Male,Low,Solo,5,Mid-range,Adventure/Nature
19,Male,Medium,Family,2,Mid-range,Relaxation/Beach
18,Male,Medium,Solo,2,Mid-range,Relaxation/Beach
29,Other,High,Group,1,Luxury,Party/Nightlife
22,Female,Medium,Solo,3,Mid-range,Cultural/Historical
54,Other,Medium,Solo,2,Mid-range,Relaxation/Beach
49,Male,Medium,Solo,2,Luxury,Relaxation/Beach
26,Female,High,Group,4,Luxury,Relaxation/Beach
58,Female,High,Family,4,Economical,Cultural/Historical
52,Male,Medium,Family,4,Mid-range,Cultural/Historical
36,Female,Low,Family,2,Mid-range,Relaxation/Beach
33,Other,Low,Family,5,Luxury,Party/Nightlife
20,Female,Medium,Solo,3,Economical,Cultural/Historical
37,Female,High,Family,2,Mid-range,Relaxation/Beach
41,Male,Medium,Solo,1,Mid-range,Relaxation/Beach
50,Male,Low,Group,5,Economical,Cultural/Historical
41,Other,High,Group,5,Mid-range,Adventure/Nature
28,Male,High,Family,3,Mid-range,Cultural/Historical
25,Female,Low,Solo,5,Mid-range,Adventure/Nature
53,Female,Medium,Group,3,Mid-range,Cultural/Historical
55,Female,Medium,Solo,5,Mid-range,Cultural/Historical
57,Other,High,Solo,3,Mid-range,Cultural/Historical
37,Male,High,Solo,4,Mid-range,Adventure/Nature
52,Male,Medium,Family,4,Economical,Cultural/Historical
42,Male,Medium,Group,5,Economical,Party/Nightlife
52,Male,High,Solo,5,Luxury,Cultural/Historical
42,Male,Medium,Solo,3,Mid-range,Cultural/Historical
46,Male,Medium,Family,3,Luxury,Cultural/Historical
35,Female,High,Family,2,Mid-range,Relaxation/Beach
63,Other,Low,Solo,4,Economical,Cultural/Historical
35,Male,Medium,Solo,2,Luxury,Relaxation/Beach
19,Male,High,Group,2,Economical,Cultural/Historical
52,Other,High,Group,1,Luxury,Cultural/Historical
33,Male,Medium,Group,3,Economical,Cultural/Historical
58,Male,Low,Group,1,Mid-range,Cultural/Historical
53,Male,Medium,Solo,1,Economical,Cultural/Historical
50,Female,Low,Solo,2,Luxury,Relaxation/Beach
21,Male,Low,Solo,1,Luxury,Relaxation/Beach
50,Other,High,Solo,3,Economical,Cultural/Historical
31,Male,Low,Group,2,Economical,Cultural/Historical
38,Female,Medium,Group,3,Economical,Cultural/Historical
37,Male,Medium,Family,5,Luxury,Relaxation/Beach
25,Female,High,Solo,1,Mid-range,Relaxation/Beach
24,Female,Medium,Group,2,Mid-range,Cultural/Historical
20,Female,Low,Group,4,Economical,Adventure/Nature
34,Female,Low,Solo,3,Luxury,Cultural/Historical
50,Female,Medium,Group,1,Mid-range,Cultural/Historical
29,Other,Medium,Solo,3,Luxury,Cultural/Historical
39,Female,Medium,Solo,3,Luxury,Cultural/Historical
39,Female,Medium,Family,5,Economical,Adventure/Nature
63,Male,Low,Family,3,Mid-range,Cultural/Historical
47,Male,Medium,Solo,5,Mid-range,Cultural/Historical
55,Male,Medium,Solo,5,Mid-range,Cultural/Historical
55,Female,Low,Group,5,Economical,Cultural/Historical
62,Male,Low,Family,1,Luxury,Relaxation/Beach
25,Male,Low,Family,3,Luxury,Cultural/Historical
44,Female,Low,Solo,3,Luxury,Cultural/Historical
44,Female,Medium,Solo,5,Luxury,Adventure/Nature
51,Other,Low,Solo,3,Mid-range,Cultural/Historical
38,Male,Low,Solo,3,Mid-range,Cultural/Historical
47,Female,Low,Solo,5,Economical,Cultural/Historical
50,Male,High,Solo,4,Mid-range,Cultural/Historical
45,Male,High,Family,4,Economical,Cultural/Historical
64,Male,Low,Solo,5,Economical,Cultural/Historical
50,Male,Medium,Group,1,Luxury,Cultural/Historical
22,Male,Low,Solo,3,Luxury,Cultural/Historical
36,Female,Medium,Family,3,Luxury,Cultural/Historical
21,Male,Low,Solo,4,Economical,Adventure/Nature
52,Female,Medium,Family,5,Luxury,Cultural/Historical
34,Female,Medium,Solo,1,Economical,Relaxation/Beach
61,Male,High,Group,5,Mid-range,Cultural/Historical
45,Female,Low,Group,4,Mid-range,Cultural/Historical
47,Male,High,Family,4,Mid-range,Cultural/Historical
46,Female,High,Solo,3,Luxury,Cultural/Historical
63,Male,Low,Family,2,Mid-range,Relaxation/Beach
23,Male,Medium,Group,1,Mid-range,Relaxation/Beach
52,Male,Low,Solo,1,Economical,Cultural/Historical
58,Female,Low,Family,2,Luxury,Relaxation/Beach
54,Other,Low,Group,4,Mid-range,Cultural/Historical
41,Male,Medium,Group,5,Luxury,Cultural/Historical
46,Female,Medium,Group,1,Mid-range,Adventure/Nature
63,Female,High,Group,2,Mid-range,Cultural/Historical
48,Other,Low,Group,3,Mid-range,Cultural/Historical
52,Female,High,Family,3,Economical,Cultural/Historical
50,Female,Low,Family,4,Mid-range,Cultural/Historical
38,Female,High,Group,1,Luxury,Relaxation/Beach
49,Female,Medium,Family,5,Luxury,Cultural/Historical
40,Male,Low,Group,1,Economical,Relaxation/Beach
50,Male,High,Solo,3,Economical,Cultural/Historical
20,Male,Medium,Family,1,Mid-range,Relaxation/Beach
35,Female,Medium,Solo,3,Luxury,Cultural/Historical
42,Female,Medium,Solo,2,Mid-range,Relaxation/Beach
59,Male,Medium,Solo,2,Luxury,Relaxation/Beach
48,Female,Medium,Family,3,Luxury,Adventure/Nature
20,Female,High,Solo,5,Mid-range,Adventure/Nature
57,Male,Low,Family,5,Economical,Cultural/Historical
63,Other,Medium,Family,1,Luxury,Relaxation/Beach
41,Male,High,Solo,3,Mid-range,Cultural/Historical
49,Male,Low,Solo,4,Mid-range,Cultural/Historical
64,Female,Low,Family,5,Mid-range,Cultural/Historical
39,Female,High,Group,5,Mid-range,Cultural/Historical
40,Male,Medium,Group,2,Mid-range,Cultural/Historical
19,Female,Medium,Group,5,Mid-range,Adventure/Nature
44,Female,Low,Group,5,Mid-range,Adventure/Nature
59,Male,Medium,Family,5,Luxury,Cultural/Historical
19,Male,Low,Group,3,Economical,Cultural/Historical
43,Female,Medium,Group,3,Economical,Cultural/Historical
34,Male,High,Group,2,Mid-range,Cultural/Historical
57,Other,Low,Solo,1,Luxury,Relaxation/Beach
50,Female,Medium,Group,5,Economical,Cultural/Historical
26,Other,High,Family,1,Economical,Adventure/Nature
60,Male,Medium,Group,3,Mid-range,Cultural/Historical
56,Other,High,Solo,5,Mid-range,Cultural/Historical
46,Male,Medium,Family,1,Mid-range,Relaxation/Beach
59,Male,High,Solo,1,Economical,Cultural/Historical
43,Male,Low,Solo,4,Economical,Adventure/Nature
52,Male,Low,Solo,3,Luxury,Cultural/Historical
42,Female,Low,Group,2,Mid-range,Cultural/Historical
41,Female,Medium,Solo,2,Luxury,Relaxation/Beach
30,Male,High,Solo,4,Mid-range,Adventure/Nature
24,Female,Medium,Solo,1,Mid-range,Relaxation/Beach
53,Male,Medium,Family,4,Luxury,Cultural/Historical
62,Female,High,Solo,4,Economical,Cultural/Historical
37,Male,Medium,Solo,3,Mid-range,Cultural/Historical
18,Female,Medium,Family,5,Economical,Adventure/Nature
25,Female,Medium,Family,1,Mid-range,Relaxation/Beach
63,Female,Medium,Solo,2,Economical,Cultural/Historical
33,Male,Low,Solo,2,Economical,Cultural/Historical
31,Male,High,Solo,4,Luxury,Party/Nightlife
29,Female,Low,Group,4,Mid-range,Adventure/Nature
40,Male,Low,Family,4,Luxury,Party/Nightlife
32,Male,High,Family,1,Mid-range,Relaxation/Beach
45,Male,Medium,Solo,4,Mid-range,Cultural/Historical
51,Female,Medium,Family,4,Economical,Cultural/Historical
19,Female,Medium,Solo,5,Mid-range,Adventure/Nature
49,Female,Medium,Solo,1,Mid-range,Relaxation/Beach
40,Male,Low,Family,3,Economical,Cultural/Historical
39,Male,Medium,Family,3,Luxury,Cultural/Historical
42,Female,Medium,Solo,5,Economical,Adventure/Nature
39,Female,High,Family,2,Mid-range,Relaxation/Beach
39,Male,Medium,Group,3,Mid-range,Cultural/Historical
59,Female,High,Family,1,Luxury,Relaxation/Beach
23,Male,Low,Family,2,Economical,Cultural/Historical
32,Other,Medium,Group,4,Mid-range,Adventure/Nature
60,Male,Medium,Group,1,Mid-range,Cultural/Historical
54,Other,High,Family,2,Economical,Cultural/Historical
50,Female,Low,Family,3,Mid-range,Cultural/Historical
25,Female,Medium,Solo,4,Economical,Adventure/Nature
61,Male,High,Family,4,Economical,Adventure/Nature
61,Female,Low,Solo,1,Economical,Cultural/Historical
22,Male,High,Solo,4,Luxury,Party/Nightlife
56,Male,Low,Family,2,Economical,Cultural/Historical
21,Female,High,Solo,5,Mid-range,Adventure/Nature
23,Other,High,Family,3,Economical,Cultural/Historical
62,Female,Medium,Family,1,Economical,Cultural/Historical
49,Female,Medium,Family,5,Economical,Cultural/Historical
47,Male,Low,Solo,5,Mid-range,Cultural/Historical
64,Male,High,Solo,1,Economical,Cultural/Historical
52,Male,Medium,Family,2,Economical,Party/Nightlife
57,Female,Low,Group,3,Luxury,Cultural/Historical
33,Other,Medium,Solo,1,Mid-range,Relaxation/Beach
30,Female,Medium,Solo,5,Economical,Adventure/Nature
59,Male,Low,Group,5,Mid-range,Cultural/Historical
47,Male,Low,Solo,1,Economical,Cultural/Historical
36,Female,Low,Group,5,Mid-range,Relaxation/Beach
34,Male,Medium,Family,1,Mid-range,Relaxation/Beach
36,Female,Medium,Family,1,Economical,Cultural/Historical
45,Female,Medium,Solo,3,Economical,Cultural/Historical
43,Female,High,Solo,1,Mid-range,Relaxation/Beach
54,Male,High,Solo,5,Luxury,Cultural/Historical
43,Male,Medium,Group,4,Economical,Relaxation/Beach
40,Male,Low,Family,3,Economical,Cultural/Historical
26,Male,Medium,Family,5,Mid-range,Adventure/Nature
29,Male,Medium,Group,5,Mid-range,Adventure/Nature
18,Female,Medium,Solo,3,Economical,Cultural/Historical
18,Female,Medium,Family,3,Economical,Cultural/Historical
64,Male,Medium,Family,5,Economical,Cultural/Historical
51,Male,High,Group,4,Economical,Cultural/Historical
49,Male,Low,Solo,2,Mid-range,Relaxation/Beach
42,Male,Medium,Family,5,Economical,Cultural/Historical
57,Female,Low,Group,3,Mid-range,Cultural/Historical
62,Male,High,Family,1,Luxury,Relaxation/Beach
18,Male,Low,Solo,1,Mid-range,Relaxation/Beach
33,Male,Low,Family,3,Mid-range,Cultural/Historical
56,Female,Medium,Solo,3,Mid-range,Cultural/Historical
22,Female,Medium,Family,2,Mid-range,Relaxation/Beach
39,Male,Low,Group,3,Luxury,Cultural/Historical
46,Female,Medium,Family,1,Mid-range,Relaxation/Beach
20,Female,Medium,Family,4,Mid-range,Adventure/Nature
29,Other,Low,Family,3,Economical,Cultural/Historical
43,Male,Medium,Solo,2,Mid-range,Relaxation/Beach
33,Female,High,Solo,4,Mid-range,Adventure/Nature
54,Other,Medium,Group,2,Economical,Cultural/Historical
39,Other,High,Family,4,Mid-range,Adventure/Nature
46,Female,Medium,Solo,3,Mid-range,Cultural/Historical
31,Female,Medium,Solo,1,Mid-range,Relaxation/Beach
45,Male,Low,Family,4,Luxury,Cultural/Historical
22,Female,Low,Group,5,Economical,Adventure/Nature
64,Female,High,Group,2,Economical,Cultural/Historical
47,Female,High,Solo,4,Luxury,Cultural/Historical
63,Male,Medium,Group,2,Luxury,Cultural/Historical
22,Female,Low,Family,1,Mid-range,Relaxation/Beach
29,Female,Low,Family,2,Economical,Cultural/Historical
33,Male,Medium,Family,2,Mid-range,Relaxation/Beach
43,Female,Medium,Solo,5,Economical,Adventure/Nature
43,Female,Low,Group,2,Luxury,Cultural/Historical
38,Female,High,Solo,4,Luxury,Adventure/Nature
56,Male,Medium,Solo,2,Economical,Cultural/Historical
53,Male,High,Group,3,Luxury,Cultural/Historical
50,Other,High,Family,2,Mid-range,Relaxation/Beach
47,Male,High,Group,3,Luxury,Cultural/Historical
54,Female,Medium,Family,2,Luxury,Relaxation/Beach
40,Female,Medium,Family,2,Economical,Cultural/Historical
27,Female,Medium,Group,4,Economical,Adventure/Nature
22,Male,Medium,Solo,3,Mid-range,Cultural/Historical
53,Female,Medium,Group,3,Luxury,Cultural/Historical
51,Male,High,Solo,5,Luxury,Cultural/Historical
48,Male,High,Group,2,Mid-range,Cultural/Historical
27,Male,High,Solo,2,Economical,Cultural/Historical
36,Male,High,Family,4,Economical,Adventure/Nature
49,Other,Low,Group,5,Luxury,Cultural/Historical
18,Other,Low,Family,5,Mid-range,Adventure/Nature
22,Male,Medium,Family,4,Mid-range,Adventure/Nature
62,Female,Medium,Group,3,Mid-range,Cultural/Historical
21,Male,High,Family,1,Luxury,Relaxation/Beach
33,Female,Medium,Group,4,Luxury,Party/Nightlife
41,Female,Medium,Family,3,Mid-range,Cultural/Historical
33,Other,Medium,Solo,5,Economical,Party/Nightlife
19,Male,Low,Solo,4,Mid-range,Adventure/Nature
45,Female,Medium,Solo,1,Luxury,Relaxation/Beach
49,Male,High,Solo,2,Mid-range,Relaxation/Beach
44,Other,Low,Family,4,Economical,Adventure/Nature
37,Male,Medium,Solo,1,Economical,Adventure/Nature
41,Female,Medium,Solo,1,Economical,Relaxation/Beach
29,Female,Low,Solo,4,Economical,Adventure/Nature
52,Female,Low,Group,3,Mid-range,Cultural/Historical
